# MJD              flux              error           quality
59419.499704510796 1350.9228565773074 2.0859882831573486 0
59419.50664908805 1346.4568522523996 2.0928728580474854 0
59419.51359366507 1350.113529319654 2.103175640106201 0
59419.52053824208 1347.430718720649 2.111281156539917 0
59419.52748281887 1346.5992828174494 2.1213457584381104 0
59419.53442739566 1345.1613971610604 2.1320245265960693 0
59419.541371972446 1349.5769573119765 2.1447532176971436 0
59419.548316549 1347.0005070484272 2.154629707336426 0
59419.55526112532 1344.054391327063 2.163287401199341 0
59419.562205701644 1347.0745067146536 2.176229476928711 0
59419.56915027797 1350.266761908449 2.1875786781311035 0
59419.57609485405 1346.792291047061 2.1955466270446777 0
59419.583039429905 1345.4424069003476 2.2053744792938232 0
59419.589984005994 1346.1623974027912 2.2129580974578857 0
59419.59692858185 1346.5293665802305 2.222076654434204 0
59419.60387315747 1347.2054727374175 2.2291884422302246 0
59419.6108177331 1349.0682823209145 2.234895706176758 0
59419.61776230872 1349.7427809288724 2.237912654876709 0
59419.62470688411 1351.3350044101958 2.2386319637298584 0
59419.631651459495 1347.5295143447843 2.2355926036834717 0
59419.63859603465 1351.0207255930172 2.2353334426879883 0
59419.64554061004 1348.8666088910868 2.233283042907715 0
59419.65248518497 1347.0475944730515 2.228454351425171 0
59419.659429760126 1344.5478865595423 2.223639726638794 0
59419.66637433505 1344.3398591248015 2.219884157180786 0
59419.673318909976 1347.789724069427 2.215801477432251 0
59419.68026348467 1346.5761883072555 2.210244655609131 0
59419.68720805936 1345.4367970111975 2.2044262886047363 0
59419.694152634045 1347.7913126793283 2.201439142227173 0
59419.701097208505 1345.7076933914946 2.1965768337249756 0
59419.708041782964 1349.388414378404 2.192528009414673 0
59419.71498635742 1349.279530312635 2.1886043548583984 0
59419.72193093165 1351.68272431763 2.1835124492645264 0
59419.728875505876 1347.8766137661855 2.1781065464019775 0
59419.735820080095 1349.0658224077838 2.1738975048065186 0
59419.74276465432 1352.0770380889567 2.1689975261688232 0
59419.749709228316 1349.650993826389 2.1634604930877686 0
59419.75665380231 1349.003269963364 2.160381317138672 0
59419.76359837607 1349.130616720724 2.1594855785369873 0
59419.770542950064 1351.2191164527585 2.1555633544921875 0
59419.777487523825 1347.9170388842085 2.1520752906799316 0
59419.78443209735 1350.3801876947468 2.1502878665924072 0
59419.79137667111 1350.4773649374374 2.150421142578125 0
59419.798321244634 1348.422575541183 2.1510403156280518 0
59419.80526581816 1350.457003595735 2.150688648223877 0
59419.81221039146 1348.2729262074995 2.1487629413604736 0
59419.819154964986 1348.872958125119 2.150721549987793 0
59419.82609953828 1349.4433592339474 2.1512317657470703 0
59419.833044111576 1348.1029589414056 2.1531662940979004 0
59419.83998868464 1342.957736489604 2.1546239852905273 0
59419.84693325793 1348.7303384798079 2.157001256942749 0
59419.85387783099 1350.1611710326301 2.1598756313323975 0
59419.86082240405 1350.3796460988638 2.1625568866729736 0
59419.86776697711 1349.1772418121554 2.164431095123291 0
59419.87471154994 1345.1144811322388 2.166433334350586 0
59419.88165612277 1347.866769200201 2.174694061279297 0
59419.8886006956 1346.3138791521974 2.1760363578796387 0
59419.89554526843 1346.849360357517 2.1823625564575195 0
59419.90248984103 1349.520136040535 2.1894478797912598 0
59419.90943441385 1348.1059749703472 2.194739818572998 0
59419.91637898645 1348.320449897723 2.199735641479492 0
59419.92332355881 1351.372489814456 2.2077956199645996 0
59419.93026813141 1347.545190793242 2.2167646884918213 0
59419.93721270377 1350.1653854614556 2.2332849502563477 0
59419.94415727637 1353.1361130723944 2.235872507095337 0
59419.95110184873 1351.1495016653412 2.2314846515655518 0
59419.95804642086 1343.6624035295476 2.2240631580352783 0
59419.96499099322 1350.1881640343868 2.2271528244018555 0
59419.97193556535 1351.9430015837106 2.227768898010254 0
59419.97888013748 1352.0243941226058 2.2304728031158447 0
59419.98582470961 1347.0533698982572 2.2303807735443115 0
59419.992769281744 1348.6807283505923 2.235010862350464 0
59419.999713853875 1349.07240850594 2.2399022579193115 0
59420.00665842577 1345.8858056226095 2.241196393966675 0
59420.01360299767 1347.9286803887862 2.2460005283355713 0
59420.02054756957 1350.7412411663304 2.2510874271392822 0
59420.02749214146 1349.8691945827923 2.2521393299102783 0
59420.03443671336 1346.652986266252 2.25180983543396 0
59420.041381285024 1347.2232177775295 2.2529308795928955 0
59420.04832585692 1347.8001429766737 2.255464553833008 0
59420.05527042859 1347.1684889166086 2.255553960800171 0
59420.06221500025 1348.6867585164096 2.2550692558288574 0
59420.06915957192 1352.7958466812056 2.258925676345825 0
59420.07610414334 1350.0125690085806 2.2575485706329346 0
59420.08304871501 1349.7990186707661 2.2584431171417236 0
59420.08999328644 1349.7094794693362 2.2617805004119873 0
59420.096937857874 1350.3770668234083 2.2650790214538574 0
59420.10388242931 1350.088682511123 2.2678747177124023 0
59420.11082700074 1349.8053987824937 2.270854949951172 0
59420.11777157217 1352.4499355683956 2.2735183238983154 0
59420.12471614337 1349.800358130327 2.2761123180389404 0
59420.13166071457 1350.8826858430425 2.2791976928710938 0
